/home/suba/MinkowskiEngine/MinkowskiEngine/__init__.py:36: UserWarning: The environment variable `OMP_NUM_THREADS` not set. MinkowskiEngine will automatically set `OMP_NUM_THREADS=16`. If you want to set `OMP_NUM_THREADS` manually, please export it on the command line before running a python script. e.g. `export OMP_NUM_THREADS=12; python your_program.py`. It is recommended to set it below 24.
  warnings.warn(
[iter 2100] lr=7.19e-04 loss=2.342 motion=0.000 semantic=0.799 dice=1.000 offset=0.543 | data 0.0s compute 32.9s
[iter 2150] lr=7.03e-04 loss=2.210 motion=0.008 semantic=0.710 dice=1.000 offset=0.492 | data 0.0s compute 32.6s
[iter 2200] lr=6.87e-04 loss=2.008 motion=0.000 semantic=0.522 dice=1.000 offset=0.486 | data 0.0s compute 32.2s
[iter 2250] lr=6.71e-04 loss=2.035 motion=0.000 semantic=0.584 dice=1.000 offset=0.450 | data 0.0s compute 33.0s
[iter 2300] lr=6.55e-04 loss=2.340 motion=0.001 semantic=0.793 dice=1.000 offset=0.546 | data 0.0s compute 32.8s
[iter 2350] lr=6.38e-04 loss=1.150 motion=0.000 semantic=0.617 dice=0.022 offset=0.511 | data 0.0s compute 31.6s
[iter 2400] lr=6.21e-04 loss=2.117 motion=0.000 semantic=0.606 dice=1.000 offset=0.511 | data 0.0s compute 32.8s
[iter 2450] lr=6.04e-04 loss=1.142 motion=0.005 semantic=0.499 dice=0.142 offset=0.496 | data 0.0s compute 31.0s
[iter 2500] lr=5.87e-04 loss=1.194 motion=0.018 semantic=0.607 dice=0.029 offset=0.541 | data 0.0s compute 31.0s
[iter 2550] lr=5.70e-04 loss=2.108 motion=0.000 semantic=0.544 dice=1.000 offset=0.564 | data 0.0s compute 32.8s
[iter 2600] lr=5.52e-04 loss=1.295 motion=0.001 semantic=0.608 dice=0.193 offset=0.493 | data 0.0s compute 32.7s
[iter 2650] lr=5.35e-04 loss=1.145 motion=0.025 semantic=0.629 dice=0.055 offset=0.436 | data 0.0s compute 32.2s
[iter 2700] lr=5.17e-04 loss=1.194 motion=0.011 semantic=0.625 dice=0.062 offset=0.495 | data 0.0s compute 32.5s
[iter 2750] lr=5.00e-04 loss=1.940 motion=0.000 semantic=0.473 dice=1.000 offset=0.468 | data 0.0s compute 31.9s
[iter 2800] lr=4.83e-04 loss=1.172 motion=0.016 semantic=0.682 dice=0.054 offset=0.420 | data 0.0s compute 31.0s
[iter 2850] lr=4.65e-04 loss=1.165 motion=0.011 semantic=0.557 dice=0.130 offset=0.466 | data 0.0s compute 32.4s
[iter 2900] lr=4.48e-04 loss=1.644 motion=0.217 semantic=0.730 dice=0.171 offset=0.526 | data 0.0s compute 33.3s
[iter 2950] lr=4.30e-04 loss=1.807 motion=0.000 semantic=0.300 dice=1.000 offset=0.507 | data 0.0s compute 32.7s
  [val @ 3000] moving_iou=0.4365 P=0.670 R=0.556 semantic_miou=0.2488
  [val @ 3000] new best -> best.pt (0.4365)
[iter 3000] lr=4.13e-04 loss=1.097 motion=0.003 semantic=0.583 dice=0.049 offset=0.462 | data 0.0s compute 32.6s
[iter 3050] lr=3.96e-04 loss=2.058 motion=0.064 semantic=0.735 dice=0.446 offset=0.813 | data 0.0s compute 31.8s
[iter 3100] lr=3.79e-04 loss=2.074 motion=0.000 semantic=0.559 dice=1.000 offset=0.514 | data 0.0s compute 32.4s
[iter 3150] lr=3.62e-04 loss=1.114 motion=0.006 semantic=0.602 dice=0.042 offset=0.464 | data 0.0s compute 31.6s
[iter 3200] lr=3.45e-04 loss=1.331 motion=0.036 semantic=0.555 dice=0.303 offset=0.437 | data 0.0s compute 33.2s
[iter 3250] lr=3.29e-04 loss=1.075 motion=0.006 semantic=0.551 dice=0.081 offset=0.437 | data 0.0s compute 32.2s
[iter 3300] lr=3.13e-04 loss=1.549 motion=0.017 semantic=0.705 dice=0.194 offset=0.633 | data 0.0s compute 32.5s
[iter 3350] lr=2.97e-04 loss=1.890 motion=0.000 semantic=0.432 dice=1.000 offset=0.458 | data 0.0s compute 32.0s
[iter 3400] lr=2.81e-04 loss=2.166 motion=0.001 semantic=0.523 dice=1.000 offset=0.642 | data 0.0s compute 32.5s
[iter 3450] lr=2.65e-04 loss=1.992 motion=0.000 semantic=0.552 dice=1.000 offset=0.440 | data 0.0s compute 32.1s
[iter 3500] lr=2.50e-04 loss=1.341 motion=0.013 semantic=0.612 dice=0.269 offset=0.448 | data 0.0s compute 32.2s
[iter 3550] lr=2.35e-04 loss=2.066 motion=0.009 semantic=0.674 dice=0.995 offset=0.387 | data 0.0s compute 31.9s
[iter 3600] lr=2.20e-04 loss=2.093 motion=0.002 semantic=0.620 dice=1.000 offset=0.470 | data 0.0s compute 32.0s
[iter 3650] lr=2.06e-04 loss=0.955 motion=0.009 semantic=0.369 dice=0.145 offset=0.434 | data 0.0s compute 32.3s
[iter 3700] lr=1.92e-04 loss=1.633 motion=0.005 semantic=0.733 dice=0.258 offset=0.638 | data 0.0s compute 32.6s
[iter 3750] lr=1.79e-04 loss=1.197 motion=0.008 semantic=0.499 dice=0.162 offset=0.528 | data 0.0s compute 32.0s
