rot_std_deg,trans_std_m,moving_iou,semantic_miou
0.0,0.0,0.6745141342756183,0.37802454829216003
0.25,0.05,0.5390402683271789,0.3372010290622711
0.5,0.1,0.2846018021961986,0.28463903069496155
1.0,0.2,0.08664637113212262,0.2307414710521698
2.0,0.4,0.0419394885384739,0.19006511569023132
