rot_std_deg,trans_std_m,moving_iou,semantic_miou
0.0,0.0,0.690123357650707,0.41990771889686584
0.25,0.05,0.46875294579927784,0.3429727256298065
0.5,0.1,0.1679773316023783,0.2826327979564667
1.0,0.2,0.04851317773496532,0.2143254578113556
2.0,0.4,0.02432679613199496,0.16912008821964264
